segment,value,n,wape,mase,bias,interval_coverage
store_id,10019,428,0.4297703879651623,1.1684257449415856,-0.0278701504354711,0.8551401869158879
store_id,11757,541,0.41497128394821375,1.2997915759669465,0.05168889321522437,0.8613678373382625
store_id,11761,616,0.3822015606840445,1.3244766804393475,-0.05429188112236427,0.8782467532467533
store_id,11967,405,0.4219047619047619,1.153159133694848,-0.1041904761904762,0.9160493827160494
store_id,11993,599,0.4353849014503533,1.2601486960035888,0.21950539233915953,0.8597662771285476
store_id,12011,470,0.3765225334957369,0.9990425896015535,-0.020249695493300853,0.902127659574468
store_id,13609,602,0.38745880466731986,1.196704712371487,-0.05005789614322615,0.8820598006644518
store_id,13827,525,0.5247231321166744,1.1151364088314109,0.0605209795663703,0.8838095238095238
store_id,13837,488,0.3926231842779835,1.1889107681906832,-0.025491313016234692,0.8954918032786885
store_id,13853,455,0.405862851160356,1.186718338329318,0.039783632873844,0.865934065934066
store_id,13859,579,0.44080036106514214,1.1069101008440112,0.02407100947795998,0.8721934369602763
store_id,15531,491,0.4561965811965812,1.238292555658774,-0.13283475783475784,0.8818737270875764
store_id,15541,542,0.4267401997317037,1.1398072842447677,-0.007601729020718438,0.9132841328413284
store_id,15547,596,0.4144123919631833,1.20574965661684,0.014591985632506453,0.9010067114093959
store_id,15755,408,0.44095427435387674,1.3086864378240433,-0.07912524850894632,0.8823529411764706
store_id,15763,512,0.4068554396423249,1.0043013444124955,-0.006599957419629551,0.908203125
store_id,15765,524,0.38431142982584515,1.1541250280084525,-0.031318600907361334,0.898854961832061
store_id,17599,428,0.46774496896746287,1.1336949120829203,0.06375775813428625,0.8808411214953271
store_id,17615,521,0.4069052498817594,1.12532708011258,-0.042408954753271326,0.8771593090211133
store_id,17627,541,0.4715593784683685,1.1706466115417,0.1263873473917869,0.8872458410351202
store_id,19265,543,0.431721268850754,1.372166719237595,0.07852314092563703,0.8931860036832413
store_id,19521,562,0.44048366834170855,1.2070204366418624,-0.01617462311557789,0.8932384341637011
store_id,19523,477,0.4099698643897539,1.125477922920673,0.00891511803114013,0.8763102725366876
store_id,19533,585,0.40376106194690264,1.2156206538373926,0.0745575221238938,0.8700854700854701
store_id,21213,578,0.46703210649960847,1.1564092475385503,-0.028191072826938137,0.8788927335640139
store_id,21221,474,0.3906515210863037,1.0442907395129304,-0.08773991382687035,0.8881856540084389
store_id,21227,613,0.35831702544031313,1.4193995801309494,-0.07782126549249838,0.8646003262642741
store_id,21237,631,0.38806528900868525,1.3124584126556829,-0.11358191075172207,0.8700475435816165
store_id,21479,466,0.44252044252044254,1.2638636504306313,0.1164021164021164,0.907725321888412
store_id,21485,436,0.4160887656033287,1.2197351331725772,-0.12958192985932238,0.8646788990825688
store_id,23055,364,0.5065290009110234,1.0455937471168042,-0.09778317643486183,0.8763736263736264
store_id,23061,612,0.37370657797487067,1.231159879879738,-0.009700665188470067,0.8970588235294118
store_id,23067,550,0.4011761331038439,1.0615007579535753,-0.040304073436603555,0.9218181818181819
store_id,23075,544,0.38155551157728085,1.3666002383123652,-0.07856718780922224,0.8455882352941176
store_id,23327,507,0.3924380704041721,1.1443020353401225,-0.07333767926988266,0.903353057199211
store_id,23345,591,0.42324185248713553,1.0673543200639537,0.06789594053744998,0.9001692047377327
store_id,23349,484,0.42227642276422767,1.0800980767252701,0.02,0.8925619834710744
store_id,24991,687,0.340476613907167,1.3979629808219258,-0.0963009069891517,0.8500727802037845
store_id,25001,562,0.4289285308487672,1.0734117996156667,0.004431314623338257,0.8772241992882562
store_id,25021,527,0.4367771406356303,1.2874980758460464,-0.04917873457090096,0.8652751423149905
store_id,25027,682,0.3390479228131728,1.3628584652319486,-0.07423650426600749,0.8621700879765396
store_id,25229,586,0.3572857485796591,1.3547822692386127,-0.012082899895975035,0.8771331058020477
store_id,25233,486,0.36196021348859775,1.156416380643819,0.010674429888403688,0.8827160493827161
store_id,25253,408,0.41942990110529377,1.1303479222729227,-0.013767694395966647,0.8774509803921569
store_id,25261,551,0.3847851335656214,1.240848018368809,0.057259001161440184,0.8784029038112523
store_id,26973,582,0.42232630757220924,1.265319593660939,-0.07884465261514442,0.8762886597938144
store_id,26981,530,0.41127113337507826,1.1682413854860354,0.02179085785848466,0.8962264150943396
store_id,26983,526,0.3714044785908367,0.9401965325211457,-0.02080014991099035,0.8973384030418251
store_id,27175,600,0.4282897331405285,1.2224968321646117,-0.0021033258840541607,0.8766666666666667
store_id,28909,613,0.382598431835427,1.2564306883605787,-0.12005733074782902,0.8776508972267537
store_id,29159,549,0.39452768729641696,1.245258358354665,-0.04091205211726384,0.8542805100182149
